Designator,Mid X,Mid Y,Rotation,Layer
R512,72.52,297.81,270,Top
R513,129.67,305.43,0,Top
R514,57.02,311.78,270,Top
R515,116.71,244.73,270,Top
R52,237.36,105.28,0,Top
R520,106.55,244.73,270,Top
R521,106.55,238.38,270,Top
R522,109.09,244.73,270,Top
R523,109.09,238.38,270,Top
R524,111.63,244.73,270,Top
R525,111.63,238.38,270,Top
R526,114.17,244.73,270,Top
R527,114.17,238.38,270,Top
R528,96.39,244.73,270,Top
R529,96.39,238.38,270,Top
R53,237.36,107.82,0,Top
R530,98.93,244.73,270,Top
R531,98.93,238.38,270,Top
R532,101.47,244.73,270,Top
R533,101.47,238.38,270,Top
R534,104.01,244.73,270,Top
R535,104.01,238.38,270,Top
R536,86.23,244.73,270,Top
R537,86.23,238.38,270,Top
R538,88.77,244.73,270,Top
R539,88.77,238.38,270,Top
R54,237.36,110.36,0,Top
R540,91.31,244.73,270,Top
R541,91.31,238.38,270,Top
R542,93.85,244.73,270,Top
R543,93.85,238.38,270,Top
R545,89.28,308.48,0,Top
R546,104.27,305.43,0,Top
R547,88.77,286.89,270,Top
R548,90.04,285.11,0,Bottom
R55,237.36,112.9,0,Top
R56,237.36,115.44,0,Top
R57,236.85,97.66,0,Bottom
R58,236.85,100.2,0,Bottom
R59,236.85,102.74,0,Bottom
R6,236.85,177.42,0,Bottom
R60,236.85,105.28,0,Bottom
R61,236.85,107.82,0,Bottom
R612,89.28,135.76,0,Bottom
R613,143.64,75.82,0,Bottom
R614,116.97,116.46,0,Bottom
R615,153.54,87.25,0,Bottom
R616,157.35,98.68,0,Bottom
R617,96.9,148.46,0,Bottom
R618,96.9,145.92,0,Bottom
R619,89.28,143.38,0,Bottom
R62,236.85,110.36,0,Bottom
R620,89.28,140.84,0,Bottom
R621,96.9,143.38,0,Bottom
R622,96.9,140.84,0,Bottom
R623,96.9,133.22,0,Bottom
R624,144.14,154.81,0,Bottom
R625,142.62,139.83,0,Bottom
R626,142.62,137.29,0,Bottom
R63,236.85,112.9,0,Bottom
R630,96.9,130.68,0,Bottom
R631,144.14,152.27,0,Bottom
R632,96.9,138.3,0,Bottom
R633,89.28,138.3,0,Bottom
R634,96.9,135.76,0,Bottom
R635,116.97,132.21,0,Bottom
R639,151,78.87,0,Bottom
R64,236.85,115.44,0,Bottom
R65,236.85,127.13,0,Bottom
R651,157.35,96.14,0,Bottom
R652,89.28,148.46,0,Bottom
R66,237.36,57.02,0,Top
R660,218.82,136.02,0,Bottom
R661,222.12,140.08,0,Bottom
R67,237.36,69.72,0,Top
R68,236.85,69.72,0,Bottom
R7,236.85,179.96,0,Bottom
R70,237.36,74.8,0,Top
R701,55.5,199.01,0,Bottom
R702,40.51,188.34,0,Top
R703,55.5,193.93,0,Bottom
R704,55.5,196.47,0,Bottom
R708,40.51,178.18,0,Bottom
R709,34.16,178.18,0,Bottom
R71,142.62,143.38,0,Bottom
R710,31.62,172.59,0,Bottom
R711,31.62,170.05,0,Bottom
R712,31.62,167.51,0,Bottom
R72,236.85,57.02,0,Bottom
R720,44.58,153.8,0,Top
R721,33.91,194.69,0,Bottom
R722,45.59,201.55,0,Bottom
R73,236.85,74.8,0,Bottom
R74,237.36,136.78,0,Top
R75,236.85,67.18,0,Bottom
R76,236.85,64.64,0,Bottom
R77,237.36,139.32,0,Top
R78,237.36,134.24,0,Top
R79,236.85,54.48,0,Bottom
R8,236.85,182.5,0,Bottom
R80,236.85,72.26,0,Bottom
R81,237.36,59.56,0,Top
R82,237.36,117.98,0,Top
R83,237.36,141.86,0,Top
R84,236.85,59.56,0,Bottom
R85,237.36,72.26,0,Top
R86,236.85,62.1,0,Bottom
R861,157.61,19.43,0,Bottom
R862,193.67,57.02,0,Bottom
R87,236.85,139.32,0,Bottom
R871,139.06,32.64,0,Bottom
R88,236.85,124.59,0,Bottom
R881,171.07,45.85,0,Bottom
R882,177.67,48.39,0,Bottom
R883,177.67,45.85,0,Bottom
R884,171.07,43.31,0,Bottom
R885,177.67,43.31,0,Bottom
R886,171.07,40.77,0,Bottom
R887,177.67,40.77,0,Bottom
R888,171.07,38.23,0,Bottom
R889,177.67,38.23,0,Bottom
R890,171.07,35.69,0,Bottom
R891,177.67,35.69,0,Bottom
R892,171.07,32.64,0,Bottom
R893,177.67,32.64,0,Bottom
R894,171.07,29.59,0,Bottom
R895,177.67,29.59,0,Bottom
R896,171.07,27.05,0,Bottom
R897,177.67,27.05,0,Bottom
R898,171.07,24.51,0,Bottom
R899,177.67,24.51,0,Bottom
R9,237.36,162.18,0,Top
R902,170.56,238.89,0,Top
R903,144.14,164.72,0,Bottom
R904,143.38,109.35,0,Bottom
R905,147.45,220.09,0,Bottom
R911,174.12,243.71,0,Bottom
R912,158.88,275.46,0,Top
R975,8,145.16,0,Bottom
R981,8,157.86,0,Top
R982,8,152.78,0,Top
R983,8,155.32,0,Top
R984,8,150.24,0,Top
R985,8,160.4,0,Top
R986,8,160.4,0,Bottom
R987,8,155.32,0,Bottom
R988,8,157.86,0,Bottom
R989,8,147.7,0,Top
R990,8,152.78,0,Bottom
R991,8,150.24,0,Bottom
R992,8,147.7,0,Bottom
R993,8,142.62,0,Top
R994,8,145.16,0,Top
RP176,26.54,144.4,270,Top
RP351,165.23,315.09,0,Top
RP461,125.86,287.15,270,Top
