RefDes     X          Y          Rot.       Exact     (FREE)    Side
EC304      7795.0000  12645.0000 000        EXACT     (FREE)    Top                           
EC305      7995.0000  12005.0000 000        EXACT     (FREE)    Top                           
EC306      8095.0000  12645.0000 000        EXACT     (FREE)    Top                           
EC307      6775.0000  12745.0000 000        EXACT     (FREE)    Top                           
EC308      9015.0000  12645.0000 000        EXACT     (FREE)    Top                           
EC309      9135.0000  12625.0000 180        EXACT     (FREE)    Bottom                        
EC350      8815.0000  12645.0000 000        EXACT     (FREE)    Top                           
EC351      8715.0000  12645.0000 000        EXACT     (FREE)    Top                           
EC352      8395.0000  12645.0000 000        EXACT     (FREE)    Top                           
EC353      8295.0000  12645.0000 000        EXACT     (FREE)    Top                           
EC354      8195.0000  12645.0000 000        EXACT     (FREE)    Top                           
EC355      8395.0000  12005.0000 000        EXACT     (FREE)    Top                           
EC356      7995.0000  12645.0000 000        EXACT     (FREE)    Top                           
EC357      7895.0000  12645.0000 000        EXACT     (FREE)    Top                           
EC358      7595.0000  12645.0000 000        EXACT     (FREE)    Top                           
EC359      7395.0000  12645.0000 000        EXACT     (FREE)    Top                           
EC360      7195.0000  12645.0000 000        EXACT     (FREE)    Top                           
EC361      7095.0000  12645.0000 000        EXACT     (FREE)    Top                           
EC362      6775.0000  12945.0000 180        EXACT     (FREE)    Bottom                        
EC363      8855.0000  12625.0000 180        EXACT     (FREE)    Bottom                        
EC364      8915.0000  12645.0000 000        EXACT     (FREE)    Top                           
EC365      6335.0000  12645.0000 180        EXACT     (FREE)    Bottom                        
EC366      6335.0000  12845.0000 180        EXACT     (FREE)    Bottom                        
EC367      5915.0000  12745.0000 180        EXACT     (FREE)    Bottom                        
EC368      5915.0000  12845.0000 180        EXACT     (FREE)    Bottom                        
EC369      5075.0000  12845.0000 180        EXACT     (FREE)    Bottom                        
EC370      5075.0000  12945.0000 180        EXACT     (FREE)    Bottom                        
EC371      5075.0000  12745.0000 180        EXACT     (FREE)    Bottom                        
EC372      5075.0000  12645.0000 180        EXACT     (FREE)    Bottom                        
EC373      5495.0000  12945.0000 180        EXACT     (FREE)    Bottom                        
EC374      5495.0000  12845.0000 180        EXACT     (FREE)    Bottom                        
EC375      5495.0000  12745.0000 180        EXACT     (FREE)    Bottom                        
EC376      5495.0000  12645.0000 180        EXACT     (FREE)    Bottom                        
EC377      5915.0000  12945.0000 180        EXACT     (FREE)    Bottom                        
EC378      5915.0000  12645.0000 180        EXACT     (FREE)    Bottom                        
EC379      6335.0000  12945.0000 180        EXACT     (FREE)    Bottom                        
EC410      1375.0000  13125.0000 180        EXACT     (FREE)    Bottom                        
EC411      1375.0000  13025.0000 180        EXACT     (FREE)    Bottom                        
EC451      1835.0000  12905.0000 000        EXACT     (FREE)    Top                           
EC452      2135.0000  12905.0000 000        EXACT     (FREE)    Top                           
EC453      2335.0000  12905.0000 000        EXACT     (FREE)    Top                           
EC454      2535.0000  12905.0000 000        EXACT     (FREE)    Top                           
EC455      2635.0000  12905.0000 000        EXACT     (FREE)    Top                           
EC456      2735.0000  12905.0000 000        EXACT     (FREE)    Top                           
EC457      2835.0000  12905.0000 000        EXACT     (FREE)    Top                           
EC458      2935.0000  12905.0000 000        EXACT     (FREE)    Top                           
EC459      3035.0000  12905.0000 000        EXACT     (FREE)    Top                           
EC460      3135.0000  12905.0000 000        EXACT     (FREE)    Top                           
EC461      3235.0000  12905.0000 000        EXACT     (FREE)    Top                           
EC462      1735.0000  12905.0000 000        EXACT     (FREE)    Top                           
EC463      2235.0000  12905.0000 000        EXACT     (FREE)    Top                           
EC464      2435.0000  12905.0000 000        EXACT     (FREE)    Top                           
EC976      605.0000   10045.0000 180        EXACT     (FREE)    Bottom                        
EC977      605.0000   10245.0000 180        EXACT     (FREE)    Bottom                        
EC978      605.0000   9845.0000  180        EXACT     (FREE)    Bottom                        
EC979      605.0000   9645.0000  180        EXACT     (FREE)    Bottom                        
EC980      605.0000   9345.0000  180        EXACT     (FREE)    Bottom                        
EC981      605.0000   8945.0000  180        EXACT     (FREE)    Bottom                        
EC982      605.0000   9145.0000  180        EXACT     (FREE)    Bottom                        
EC983      605.0000   11345.0000 180        EXACT     (FREE)    Bottom                        
EC984      605.0000   11565.0000 180        EXACT     (FREE)    Bottom                        
EC985      605.0000   11145.0000 180        EXACT     (FREE)    Bottom                        
EC986      605.0000   10945.0000 180        EXACT     (FREE)    Bottom                        
EC987      605.0000   10745.0000 180        EXACT     (FREE)    Bottom                        
EC988      605.0000   10345.0000 180        EXACT     (FREE)    Bottom                        
EC989      605.0000   10545.0000 180        EXACT     (FREE)    Bottom                        
ER175      4075.0000  12885.0000 180        EXACT     (FREE)    Bottom                        
ER176      3815.0000  12885.0000 180        EXACT     (FREE)    Bottom                        
ER300      8095.0000  12005.0000 000        EXACT     (FREE)    Top                           
ER301      7295.0000  12325.0000 000        EXACT     (FREE)    Top                           
ER302      7695.0000  12325.0000 000        EXACT     (FREE)    Top                           
ER303      7495.0000  12325.0000 000        EXACT     (FREE)    Top                           
ER304      7795.0000  12325.0000 000        EXACT     (FREE)    Top                           
ER305      7895.0000  12005.0000 000        EXACT     (FREE)    Top                           
ER306      8095.0000  12325.0000 000        EXACT     (FREE)    Top                           
ER307      6995.0000  12645.0000 000        EXACT     (FREE)    Top                           
ER350      8695.0000  12325.0000 000        EXACT     (FREE)    Top                           
ER351      8595.0000  12325.0000 000        EXACT     (FREE)    Top                           
ER352      8395.0000  12325.0000 000        EXACT     (FREE)    Top                           
ER353      8295.0000  12325.0000 000        EXACT     (FREE)    Top                           
ER354      8195.0000  12325.0000 000        EXACT     (FREE)    Top                           
ER355      8295.0000  12005.0000 000        EXACT     (FREE)    Top                           
ER356      7995.0000  12325.0000 000        EXACT     (FREE)    Top                           
ER357      7895.0000  12325.0000 000        EXACT     (FREE)    Top                           
ER358      7595.0000  12325.0000 000        EXACT     (FREE)    Top                           
ER359      7395.0000  12325.0000 000        EXACT     (FREE)    Top                           
ER360      7195.0000  12325.0000 000        EXACT     (FREE)    Top                           
ER361      7095.0000  12325.0000 000        EXACT     (FREE)    Top                           
ER362      6775.0000  12845.0000 180        EXACT     (FREE)    Bottom                        
ER363      9135.0000  12325.0000 000        EXACT     (FREE)    Top                           
ER367      5915.0000  12745.0000 000        EXACT     (FREE)    Top                           
ER368      5915.0000  12845.0000 000        EXACT     (FREE)    Top                           
ER369      5075.0000  12845.0000 000        EXACT     (FREE)    Top                           
ER370      5075.0000  12945.0000 000        EXACT     (FREE)    Top                           
ER371      5075.0000  12745.0000 000        EXACT     (FREE)    Top                           
ER372      5075.0000  12645.0000 000        EXACT     (FREE)    Top                           
ER373      5495.0000  12945.0000 000        EXACT     (FREE)    Top                           
ER374      5495.0000  12845.0000 000        EXACT     (FREE)    Top                           
ER375      5495.0000  12745.0000 000        EXACT     (FREE)    Top                           
ER376      5495.0000  12645.0000 000        EXACT     (FREE)    Top                           
ER377      5915.0000  12945.0000 000        EXACT     (FREE)    Top                           
ER378      5915.0000  12645.0000 000        EXACT     (FREE)    Top                           
